1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0005,0.001,8192,dot,2,64,2,2,-0.4059790074825287,0.9741003271537623,0.893315796928292,0.8741300285246116,0.98986546291379,0.6228852369066974,0.8999428875093682
0.0005,0.001,8192,dot,2,128,2,2,-0.40981918573379517,0.9697134566557852,0.888676351634363,0.864520901297322,0.9916533899805275,0.6315862767046987,0.8965456393295219
0.0005,0.001,8192,dot,2,64,3,2,-0.4116971492767334,0.9726793823796549,0.8865953679963489,0.8810693289716126,0.9880952380952381,0.6313220629943915,0.8924281055693263
0.0005,0.001,8192,dot,2,128,3,2,-0.4007890522480011,0.9749412190269487,0.8900105374261298,0.8908026475206507,0.9892901398477607,0.6325965369076362,0.8976817031856719
0.0005,0.001,8192,dot,2,64,4,2,-0.4065874218940735,0.9793936092955701,0.8919216503048548,0.8885089227760496,0.9912373871481678,0.6479819385837583,0.9015033238050518
0.0005,0.001,8192,dot,2,128,4,2,-0.39867734909057617,0.9788822137265611,0.8927546079058692,0.8743323399324462,0.9884050274384846,0.6270078834318591,0.9022801303259614
0.001,0.001,8192,dot,2,64,2,2,-0.4050135910511017,0.9719840839211431,0.8934773709065943,0.8853039080468714,0.9911223225349619,0.6270589621693055,0.8970797880405891
0.001,0.001,8192,dot,2,128,2,2,-0.4048902988433838,0.9729631645799312,0.8953819886835312,0.8834827487376611,0.9897238449283059,0.6222106080010041,0.8962280638322462
0.001,0.001,8192,dot,2,64,3,2,-0.40988704562187195,0.9751004016064256,0.8915516387079432,0.8811281389879371,0.9899097185342538,0.6459739368274989,0.8976274365227428
0.001,0.001,8192,dot,2,128,3,2,-0.40091413259506226,0.9755598033861278,0.8914430485593132,0.8753991435483734,0.9882722605770934,0.629726969517842,0.8985477946376039
0.001,0.001,8192,dot,2,64,4,2,-0.40413305163383484,0.9767283614589004,0.8930398490999855,0.8910609968894622,0.9909275978049211,0.6474705383680225,0.9032210862373289
0.001,0.001,8192,dot,2,128,4,2,-0.3970926105976105,0.9817918026840768,0.8924257467810347,0.8902614453464162,0.990237210125686,0.6433457440212249,0.8984067073560854
0.0001,0.0001,8192,dot,3,64,2,2,-0.4616258253180791,0.9609346825149813,0.8653298972861337,0.8196707390679773,0.9753244207932774,0.6041960048583278,0.8680691250328267
0.0001,0.0001,8192,dot,3,128,2,2,-0.425751656293869,0.9678074316146212,0.8798804551515205,0.8358814033667991,0.9831710627249661,0.6137373466296029,0.8855489810091107
0.0001,0.0001,8192,dot,3,64,3,2,-0.44920799136161804,0.9646728294362878,0.8694802138408354,0.843330256514006,0.9772880155779783,0.6230028074834042,0.8787402842827945
0.0001,0.0001,8192,dot,3,128,3,2,-0.42772769927978516,0.9638904059712362,0.8751950284883719,0.8620484548790444,0.9854399008674103,0.6138846241833915,0.8805279710408849
0.0001,0.0001,8192,dot,3,64,4,2,-0.4243676993581984,0.9734316700495033,0.8846883808034538,0.8605766162988681,0.9837316339175075,0.6248538178160644,0.8862124943743881
0.0001,0.0001,8192,dot,3,128,4,2,-0.42418980598449707,0.9710773680404917,0.8826039030094505,0.8617667456754021,0.9840237210125685,0.6202280938240651,0.8861470220191193
0.0005,0.0001,8192,dot,3,64,2,2,-0.4100034270021651,0.9717857383795453,0.8892789490173602,0.8733601384159004,0.9883489703192305,0.629023766288495,0.8941762362526383
0.0005,0.0001,8192,dot,3,128,2,2,-0.40883612632751465,0.9717577413479054,0.8887114845938375,0.8634760339088539,0.9879270667374758,0.6123551032841964,0.8919345079609218
0.0005,0.0001,8192,dot,3,64,3,2,-0.39123833179473877,0.9749182115594329,0.8979343220338984,0.8805565768391047,0.9916533899805275,0.63370842230549,0.8972805482232871
0.0005,0.0001,8192,dot,3,128,3,2,-0.3997649848461151,0.9748592188919163,0.8916779782504793,0.8768880482236828,0.9896669448448524,0.6238779376247796,0.8951291416097186
0.0005,0.0001,8192,dot,3,64,4,2,-0.412113219499588,0.9792117604617604,0.890296132330247,0.8771895862442862,0.9882457072048151,0.6430796716467827,0.8973368763921801
0.0005,0.0001,8192,dot,3,128,4,2,-0.4043985903263092,0.9780356817768068,0.8914544407357289,0.8811224489795919,0.9897061426801205,0.6421336029704492,0.897911573328721
0.001,0.0001,8192,dot,3,64,2,2,-0.4033762216567993,0.9761646803900325,0.8933220235244768,0.8853403986701915,0.9910603646663125,0.6250228330127603,0.8983995028746701
0.001,0.0001,8192,dot,3,128,2,2,-0.4072006940841675,0.9747559652928417,0.8917678567231206,0.8752339093018858,0.9884227296866702,0.6223520175276976,0.8967666693091731
0.001,0.0001,8192,dot,3,64,3,2,-0.39829960465431213,0.9763476347634763,0.8936512667876947,0.8850957283113418,0.9902991679943353,0.6299876529171681,0.8976758380357656
0.001,0.0001,8192,dot,3,128,3,2,-0.4047243595123291,0.9792463134898962,0.8869535544596396,0.8878421056726952,0.9912108337758896,0.6408299011321017,0.8976157105387139
0.001,0.0001,8192,dot,3,64,4,2,-0.39758655428886414,0.9790600616947922,0.8960796064755443,0.9014693057576754,0.9913258983890954,0.6492258308544455,0.8991271022696191
0.001,0.0001,8192,dot,3,128,4,2,-0.39700573682785034,0.9757592289507183,0.8926981269973746,0.8884006210347155,0.9924322889006904,0.6426245463719426,0.9010628247208164
0.0001,0.0005,8192,dot,3,64,2,2,-0.43700769378079307,0.9697430000806908,0.8747670232358884,0.815949920145353,0.9793661330703285,0.6175495250337733,0.8801730819979404
0.0001,0.0005,8192,dot,3,128,2,2,-0.41940420866012573,0.9668567807351076,0.8835227402947538,0.8215001909638128,0.9785714285714286,0.614694299712164,0.8866202750236549
0.0001,0.0005,8192,dot,3,64,3,2,-0.4348682761192322,0.9712079927338783,0.8771202660310357,0.851054969695437,0.9791113471410869,0.620604000013822,0.8908065592165257
0.0001,0.0005,8192,dot,3,128,3,2,-0.39345118403434753,0.9749954832881663,0.8955563026550124,0.8510753983138476,0.9881394937157019,0.612418251829765,0.8911085518578328
0.0001,0.0005,8192,dot,3,64,4,2,-0.44403716921806335,0.9656005102970657,0.8792300902688263,0.846643303294923,0.9768454593733404,0.613572324012264,0.8797629753810814
0.0001,0.0005,8192,dot,3,128,4,2,-0.43431463837623596,0.9654261813836282,0.8795501742618833,0.8581023287210223,0.9829350327491592,0.6227504866340916,0.8886771501519433
0.0005,0.0005,8192,dot,3,64,2,2,-0.40664809942245483,0.9736966394187103,0.8911000859642277,0.8809011708772728,0.9889360948840503,0.6255413830433191,0.896267600725764
0.0005,0.0005,8192,dot,3,128,2,2,-0.3998471796512604,0.9765010917030568,0.8953955793205224,0.8744849488742213,0.9906355107098602,0.627991664863844,0.8980082511970423
0.0005,0.0005,8192,dot,3,64,3,2,-0.39801084995269775,0.9758642649199417,0.8934739428668552,0.8781514275539767,0.9888918392635865,0.6355105007632765,0.8995908734975955
0.0005,0.0005,8192,dot,3,128,3,2,-0.3980673849582672,0.9766503000545556,0.8918718151190497,0.8867325540453528,0.9911046202867764,0.6413749932317723,0.9017067885454696
0.0005,0.0005,8192,dot,3,64,4,2,-0.4140726327896118,0.9751452432824983,0.8854579231570503,0.8868904315133737,0.9915029208709506,0.6396632239843147,0.8916294151483988
0.0005,0.0005,8192,dot,3,128,4,2,-0.4015163779258728,0.9701658465463823,0.8971027952892516,0.8874834568275884,0.9913701540095592,0.6492966543018412,0.9020633887966096
0.001,0.0005,8192,dot,3,64,2,2,-0.40206825733184814,0.9771444082519002,0.894045754748154,0.8790306200555803,0.9897238449283059,0.6248850818319612,0.898976959035523
